Function,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
booth,20,100,1.5,1.553176548146165,2594.0,255.22008940874917,0.05401206016540527
booth,20,100,2.0,10.830129293057647,2594.0,241.50854229438968,0.045011043548583984
booth,50,5,0.1,93.95263118128562,918.9230507148097,3.708191111376177,0.0050008296966552734
booth,50,5,0.2,92.41359118358658,1013.3397641937554,1.991089087778805,0.0060024261474609375
booth,50,5,0.5,110.70363158487415,1030.2371677076121,23.21079838764596,0.005000591278076172
booth,50,5,1.0,28.696605385753376,252.73743511735577,41.76072087146067,0.00600123405456543
booth,50,5,1.5,103.22104062398479,371.6504738843047,13.91278511334017,0.007000446319580078
booth,50,5,2.0,51.50841120681485,751.7179282840543,98.05141921157406,0.006002187728881836
booth,50,10,0.1,13.549681165190403,1473.4737199496694,9.027070044146491,0.006002664566040039
booth,50,10,0.2,36.79424113877651,816.9374470963118,58.007984584327936,0.008000373840332031
booth,50,10,0.5,7.317934282540224,1650.1706680738446,166.7910171540028,0.007001161575317383
booth,50,10,1.0,43.37437670031245,1403.2104310318555,67.35707031318053,0.0060024261474609375
booth,50,10,1.5,3.4540567751538784,2280.8579687751608,7.443252968530305,0.007001638412475586
booth,50,10,2.0,9.998136712820822,1386.3385372272255,89.75480783510278,0.008002996444702148
booth,50,20,0.1,30.67261810906762,1788.658713125978,140.7619341428282,0.012002706527709961
booth,50,20,0.2,106.97033226645411,1526.3666969028818,144.50769149598113,0.012001514434814453
booth,50,20,0.5,3.27192222149034,1610.199445307163,45.67298133262235,0.011001348495483398
booth,50,20,1.0,2.609536772345868,1728.690315574309,142.18744860943653,0.012003421783447266
booth,50,20,1.5,44.09106300670214,2422.9177517370454,178.19010576576235,0.011002540588378906
booth,50,20,2.0,5.020957662701591,2594.0,182.21554594488464,0.010001897811889648
booth,50,50,0.1,6.989643233386396,2103.0596204220565,61.35791014806676,0.02500605583190918
booth,50,50,0.2,1.3883387727831467,2176.251488857968,122.95995894924413,0.01900506019592285
booth,50,50,0.5,2.722691385644644,2556.574906804624,280.4469495069368,0.020004987716674805
